Season,Game_Date,Game_Day,Type,Where,Opponent_School,Result,Tm,Opp,OT
1966,1966-02-09,Wed,REG,A,New York University,L,78,83,NA
1966,1966-02-12,Sat,REG,H,Virginia Tech,L,75,81,NA
1966,1966-02-15,Tue,REG,A,North Carolina State,L,77,87,NA
1966,1966-02-18,Fri,REG,N,Clemson,W,70,66,NA
1966,1966-02-19,Sat,REG,N,South Carolina,W,83,71,NA
1966,1966-02-22,Tue,REG,H,Virginia,W,81,79,NA
1966,1966-02-26,Sat,REG,A,Duke,L,63,77,NA
1966,1966-03-03,Thu,CTOURN,H,Maryland,W,77,70,NA
1966,1966-03-04,Fri,CTOURN,N,Duke,L,20,21,NA
1967,1966-12-01,Thu,REG,H,Clemson,W,76,65,NA
1967,1966-12-03,Sat,REG,N,Penn State,W,93,63,NA
1967,1966-12-09,Fri,REG,H,Tulane,W,92,69,NA
1967,1966-12-13,Tue,REG,A,Kentucky,W,64,55,NA
1967,1966-12-17,Sat,REG,N,New York University,W,95,58,NA
1967,1966-12-19,Mon,REG,N,Columbia,W,98,66,NA
1967,1966-12-20,Tue,REG,N,Florida State,W,81,54,NA
1967,1966-12-27,Tue,REG,N,Furman,W,101,56,NA
1967,1966-12-30,Fri,REG,N,Ohio State,W,105,82,NA
1967,1967-01-02,Mon,REG,H,Princeton,L,81,91,NA
1967,1967-01-04,Wed,REG,A,Wake Forest,W,76,74,NA
1967,1967-01-07,Sat,REG,A,Duke,W,59,56,NA
1967,1967-01-11,Wed,REG,H,North Carolina State,W,79,78,NA
1967,1967-01-28,Sat,REG,H,Virginia,W,103,76,NA
1967,1967-02-04,Sat,REG,H,Maryland,W,85,77,NA
1967,1967-02-07,Tue,REG,A,Virginia,W,79,75,NA
1967,1967-02-09,Thu,REG,H,Wake Forest,W,75,73,NA
1967,1967-02-11,Sat,REG,A,Georgia Tech,L,80,82,NA
1967,1967-02-14,Tue,REG,A,North Carolina State,W,77,60,NA
1967,1967-02-17,Fri,REG,N,South Carolina,W,80,55,NA
1967,1967-02-18,Sat,REG,N,Clemson,L,88,92,NA
1967,1967-02-22,Wed,REG,A,Maryland,W,79,78,NA
1967,1967-02-25,Sat,REG,H,Virginia Tech,W,110,78,NA
1967,1967-03-01,Wed,REG,A,South Carolina,L,57,70,NA
1967,1967-03-04,Sat,REG,H,Duke,W,92,79,NA
1967,1967-03-09,Thu,CTOURN,N,North Carolina State,W,56,53,NA
1967,1967-03-10,Fri,CTOURN,A,Wake Forest,W,89,79,NA
1967,1967-03-11,Sat,CTOURN,N,Duke,W,82,73,NA
1967,1967-03-17,Fri,NCAA,N,Princeton,W,78,70,OT
1967,1967-03-18,Sat,NCAA,N,Boston College,W,96,80,NA
1967,1967-03-24,Fri,NCAA,N,Dayton,L,62,76,NA
1967,1967-03-25,Sat,NCAA,N,Houston,L,62,84,NA
1968,1967-12-02,Sat,REG,H,Virginia Tech,W,89,76,NA
1968,1967-12-06,Wed,REG,H,Kent State,W,107,83,NA
1968,1967-12-09,Sat,REG,A,Vanderbilt,L,76,89,NA
1968,1967-12-12,Tue,REG,H,Kentucky,W,84,77,NA
1968,1967-12-16,Sat,REG,N,Princeton,W,71,63,NA
1968,1967-12-28,Thu,REG,N,Stanford,W,87,78,NA
1968,1967-12-29,Fri,REG,N,Utah,W,86,84,NA
1968,1967-12-30,Sat,REG,N,Oregon State,W,68,61,NA
1968,1968-01-03,Wed,REG,H,Wake Forest,W,74,62,NA
