Season,G,Game_Date,Game_Day,Type,Where,Opponent_School,Opponent_Ranking,Conf,Result,Tm,Opp,OT,W,L,Streak,Arena
1957,13,1957-01-29,Tue,REG,A,Wake Forest,13,ACC,L,59,77,NA,8,5,L 1,Winston-Salem Memorial Coliseum
1957,14,1957-01-31,Thu,REG,H,Maryland,NA,ACC,W,72,60,NA,9,5,W 1,Cameron Indoor Stadium
1957,15,1957-02-02,Sat,REG,A,Navy,NA,Ind,L,69,71,OT,9,6,L 1,Halsey Field House
1957,16,1957-02-05,Tue,REG,H,Pittsburgh,NA,Ind,W,90,72,NA,10,6,W 1,Cameron Indoor Stadium
1957,17,1957-02-09,Sat,REG,A,North Carolina,1,ACC,L,73,75,NA,10,7,L 1,Woollen Gymnasium
1957,18,1957-02-12,Tue,REG,A,North Carolina State,NA,ACC,L,72,79,NA,10,8,L 2,Reynolds Coliseum
1957,19,1957-02-16,Sat,REG,H,Wake Forest,11,ACC,W,75,64,NA,11,8,W 1,Cameron Indoor Stadium
1957,20,1957-02-19,Tue,REG,A,Virginia,NA,ACC,L,81,90,NA,11,9,L 1,Memorial Gymnasium
1957,21,1957-02-23,Sat,REG,H,South Carolina,NA,ACC,W,94,81,NA,12,9,W 1,Cameron Indoor Stadium
1957,22,1957-02-27,Wed,REG,H,Virginia,NA,ACC,W,81,66,NA,13,9,W 2,Cameron Indoor Stadium
1957,23,1957-03-01,Fri,REG,H,North Carolina,1,ACC,L,72,86,NA,13,10,L 1,Cameron Indoor Stadium
1957,24,1957-03-07,Thu,CTOURN,H,South Carolina,NA,ACC,L,81,84,NA,13,11,L 2,Reynolds Coliseum
1958,1,1957-12-02,Mon,REG,A,Kentucky,NA,SEC,L,74,78,NA,0,1,L 1,Memorial Coliseum
1958,2,1957-12-06,Fri,REG,H,Clemson,NA,ACC,W,79,66,NA,1,1,W 1,Cameron Indoor Stadium
1958,3,1957-12-14,Sat,REG,H,Villanova,NA,Ind,W,60,53,NA,2,1,W 2,Cameron Indoor Stadium
1958,4,1957-12-17,Tue,REG,A,South Carolina,NA,ACC,L,51,62,NA,2,2,L 1,Carolina Fieldhouse
1958,5,1957-12-21,Sat,REG,A,Pittsburgh,NA,Ind,L,84,87,2OT,2,3,L 2,Fitzgerald Fieldhouse
1958,6,1957-12-26,Thu,REG,H,Seton Hall,NA,Ind,W,69,62,NA,3,3,W 1,Raleigh Memorial Auditorium
1958,7,1957-12-27,Fri,REG,N,North Carolina,4,ACC,L,62,76,NA,3,4,L 1,Raleigh Memorial Auditorium
1958,8,1957-12-28,Sat,REG,N,Wake Forest,NA,ACC,W,79,75,OT,4,4,W 1,Raleigh Memorial Auditorium
1958,9,1958-01-04,Sat,REG,A,New York University,NA,Metro NY,W,67,60,NA,5,4,W 2,Madison Square Garden (III)
1958,10,1958-01-08,Wed,REG,A,Maryland,11,ACC,L,49,74,NA,5,5,L 1,Cole Fieldhouse
1958,11,1958-01-11,Sat,REG,H,North Carolina State,13,ACC,W,76,75,2OT,6,5,W 1,Cameron Indoor Stadium
1958,12,1958-01-27,Mon,REG,H,West Virginia,1,Southern,W,72,68,NA,7,5,W 2,Cameron Indoor Stadium
1958,13,1958-01-30,Thu,REG,H,Virginia,NA,ACC,W,88,71,NA,8,5,W 3,Cameron Indoor Stadium
1958,14,1958-02-01,Sat,REG,A,Wake Forest,NA,ACC,W,70,56,NA,9,5,W 4,Winston-Salem Memorial Coliseum
1958,15,1958-02-03,Mon,REG,H,South Carolina,NA,ACC,W,61,49,NA,10,5,W 5,Cameron Indoor Stadium
1958,16,1958-02-04,Tue,REG,H,Clemson,NA,ACC,W,73,57,NA,11,5,W 6,Charlotte Coliseum
1958,17,1958-02-08,Sat,REG,A,North Carolina,7,ACC,W,91,75,NA,12,5,W 7,Woollen Gymnasium
1958,18,1958-02-11,Tue,REG,A,North Carolina State,10,ACC,W,65,48,NA,13,5,W 8,Reynolds Coliseum
1958,19,1958-02-15,Sat,REG,H,Wake Forest,NA,ACC,W,71,59,NA,14,5,W 9,Cameron Indoor Stadium
1958,20,1958-02-19,Wed,REG,A,Navy,NA,Ind,W,77,63,NA,15,5,W 10,Halsey Field House
1958,21,1958-02-21,Fri,REG,H,Maryland,14,ACC,W,68,59,NA,16,5,W 11,Cameron Indoor Stadium
1958,22,1958-02-25,Tue,REG,A,Virginia,NA,ACC,L,68,70,3OT,16,6,L 1,Memorial Gymnasium
1958,23,1958-02-28,Fri,REG,H,North Carolina,9,ACC,W,59,46,NA,17,6,W 1,Cameron Indoor Stadium
1958,24,1958-03-06,Thu,CTOURN,H,Wake Forest,NA,ACC,W,51,44,NA,18,6,W 2,Raleigh Memorial Auditorium
1958,25,1958-03-07,Fri,CTOURN,H,Maryland,17,ACC,L,65,71,OT,18,7,L 1,Reynolds Coliseum
1959,1,1958-12-05,Fri,REG,A,Clemson,NA,ACC,L,55,56,NA,0,1,L 1,Clemson Field House
1959,2,1958-12-08,Mon,REG,H,Kentucky,NA,SEC,L,64,78,NA,0,2,L 2,Cameron Indoor Stadium
1959,3,1958-12-12,Fri,REG,A,West Virginia,4,Southern,L,63,101,NA,0,3,L 3,Stansbury Hall
1959,4,1958-12-15,Mon,REG,H,South Carolina,NA,ACC,W,68,61,NA,1,3,W 1,Cameron Indoor Stadium
1959,5,1958-12-19,Fri,REG,A,Pennsylvania,NA,Ivy,W,66,57,NA,2,3,W 2,The Palestra
1959,6,1958-12-20,Sat,REG,A,Villanova,NA,Ind,L,67,74,NA,2,4,L 1,The Palestra
1959,7,1958-12-29,Mon,REG,H,Michigan State,9,Big Ten,L,57,82,NA,2,5,L 2,Raleigh Memorial Auditorium
1959,8,1958-12-30,Tue,REG,H,Yale,NA,Ivy,W,56,53,NA,3,5,W 1,Raleigh Memorial Auditorium
1959,9,1958-12-31,Wed,REG,H,Louisville,NA,Ind,W,57,54,NA,4,5,W 2,Raleigh Memorial Auditorium
1959,10,1959-01-05,Mon,REG,A,Wake Forest,NA,ACC,W,58,57,NA,5,5,W 3,Winston-Salem Memorial Coliseum
1959,11,1959-01-07,Wed,REG,A,Maryland,NA,ACC,L,33,64,NA,5,6,L 1,Cole Fieldhouse
1959,12,1959-01-10,Sat,REG,H,North Carolina State,2,ACC,L,60,67,NA,5,7,L 2,Cameron Indoor Stadium
1959,13,1959-01-13,Tue,REG,H,Clemson,NA,ACC,W,45,41,NA,6,7,W 1,Cameron Indoor Stadium
1959,14,1959-01-15,Thu,REG,A,Virginia,NA,ACC,L,67,86,NA,6,8,L 1,Memorial Gymnasium
1959,15,1959-01-17,Sat,REG,H,Maryland,NA,ACC,W,78,69,NA,7,8,W 1,Cameron Indoor Stadium
1959,16,1959-01-31,Sat,REG,H,Pittsburgh,NA,Ind,W,75,66,NA,8,8,W 2,Cameron Indoor Stadium
1959,17,1959-02-03,Tue,REG,A,South Carolina,NA,ACC,W,80,72,NA,9,8,W 3,Carolina Fieldhouse
1959,18,1959-02-06,Fri,REG,H,North Carolina,2,ACC,L,80,89,NA,9,9,L 1,Cameron Indoor Stadium
1959,19,1959-02-10,Tue,REG,A,North Carolina State,6,ACC,L,72,80,NA,9,10,L 2,Reynolds Coliseum
1959,20,1959-02-14,Sat,REG,H,Navy,NA,Ind,W,64,63,NA,10,10,W 1,Cameron Indoor Stadium
1959,21,1959-02-17,Tue,REG,H,Wake Forest,NA,ACC,W,85,78,NA,11,10,W 2,Cameron Indoor Stadium
1959,22,1959-02-20,Fri,REG,H,Virginia,NA,ACC,W,71,63,NA,12,10,W 3,Cameron Indoor Stadium
1959,23,1959-02-28,Sat,REG,A,North Carolina,3,ACC,L,62,72,NA,12,11,L 1,Woollen Gymnasium
